method,source,SDR_mean,SDR_std,SIR_mean,SIR_std,SAR_mean,SAR_std
euclidean,drums,-3.08,13.37,-19.61,16.66,1.02,1.94
euclidean,bass,-15.91,28.63,-18.88,16.77,2.94,2.95
euclidean,other,0.43,2.76,-12.51,14.14,1.86,3.40
euclidean,vocals,-22.13,25.83,-31.44,19.68,1.99,2.89
isnmf,drums,-3.10,11.11,-21.92,15.97,0.44,0.87
isnmf,bass,-19.14,29.45,-19.48,15.41,2.96,2.82
isnmf,other,1.19,3.12,-14.45,13.35,1.50,2.19
isnmf,vocals,-19.53,23.84,-32.24,21.02,1.27,1.62
sparse,drums,-2.88,13.53,-15.81,16.56,1.60,2.20
sparse,bass,-15.77,28.85,-18.61,18.10,2.84,2.86
sparse,other,0.59,3.52,-11.39,13.50,1.96,2.14
sparse,vocals,-21.69,25.97,-29.13,20.67,2.37,2.70
cnmf,drums,-6.77,16.23,-17.42,14.81,2.43,2.62
cnmf,bass,-18.35,29.10,-20.27,15.22,2.91,3.14
cnmf,other,0.60,2.32,-16.38,13.95,1.62,2.34
cnmf,vocals,-19.63,23.29,-32.46,23.14,1.37,1.64
